
                             ms010-mesh0025-ti                                                                                                                  
                  X               mefiled         ms04-mesh0025       ms04-mesh010       ms04-mesh015      ms04-meshorig      ms07-mesh0025           orig      
              750.E-06            -4.0738E+03       -29.137E+03         -5.00649E+03       -6.11337E+03      -12.3398E+03        -3.17611E+03       -4.0738E+03 
              750.078E-06         -4.07353E+03      -29.134E+03         -5.00304E+03       -6.11522E+03      -12.3432E+03        -3.17605E+03       -4.07353E+03
              750.593E-06         -4.07178E+03      -29.1139E+03        -4.98037E+03       -6.12739E+03      -12.3658E+03        -3.17578E+03       -4.07178E+03
              750.631E-06         -4.07165E+03      -29.1124E+03        -4.9787E+03        -6.12828E+03      -12.3629E+03        -3.17576E+03       -4.07165E+03
              750.649E-06         -4.07159E+03      -29.1117E+03        -4.9779E+03        -6.1279E+03       -12.3614E+03        -3.17575E+03       -4.07159E+03
              750.768E-06         -4.07118E+03      -29.1071E+03        -4.9757E+03        -6.12541E+03      -12.3521E+03        -3.17569E+03       -4.07118E+03
              825.E-06            -3.81831E+03      -24.5515E+03        -3.60286E+03       -4.57131E+03       -6.53635E+03       -3.1362E+03        -3.81831E+03
              825.593E-06         -3.81772E+03      -24.5151E+03        -3.5919E+03        -4.5589E+03        -6.4899E+03        -3.13589E+03       -3.81772E+03
              825.631E-06         -3.81768E+03      -24.5128E+03        -3.5912E+03        -4.55811E+03       -6.49245E+03       -3.13587E+03       -3.81768E+03
              825.649E-06         -3.81766E+03      -24.5117E+03        -3.59086E+03       -4.55823E+03       -6.49369E+03       -3.13586E+03       -3.81766E+03
              900.E-06            -3.74392E+03      -19.9488E+03        -4.80071E+03       -5.01622E+03      -11.508E+03         -3.09631E+03       -3.74392E+03
              900.078E-06         -3.74374E+03      -19.944E+03         -4.80198E+03       -5.0167E+03       -11.5132E+03        -3.09627E+03       -3.74374E+03
              900.593E-06         -3.74255E+03      -19.9124E+03        -4.81036E+03       -5.01987E+03      -11.5479E+03        -3.09568E+03       -3.74255E+03
              900.631E-06         -3.74246E+03      -19.9101E+03        -4.81097E+03       -5.02011E+03      -11.5514E+03        -3.09564E+03       -3.74246E+03
              900.649E-06         -3.74242E+03      -19.909E+03         -4.81127E+03       -5.02021E+03      -11.5531E+03        -3.09562E+03       -3.74242E+03
              900.768E-06         -3.74215E+03      -19.9017E+03        -4.8099E+03        -5.02089E+03      -11.5641E+03        -3.09548E+03       -3.74215E+03
              975.E-06            -3.57092E+03      -32.2225E+03        -3.95282E+03       -5.44507E+03      -18.4128E+03        -3.01079E+03       -3.57092E+03
              975.593E-06         -3.56974E+03      -32.3209E+03        -3.94597E+03       -5.44846E+03      -18.4674E+03        -3.01011E+03       -3.57092E+03
              975.631E-06         -3.56966E+03      -32.3272E+03        -3.94554E+03       -5.44867E+03      -18.46E+03          -3.01007E+03       -3.57092E+03
              975.649E-06         -3.56962E+03      -32.3302E+03        -3.94533E+03       -5.44923E+03      -18.4564E+03        -3.01005E+03       -3.57092E+03
                1.05E-03          -3.42149E+03      -44.6707E+03        -3.54633E+03       -7.71196E+03       -3.85459E+03       -2.92522E+03       -3.57092E+03
                1.05008E-03       -3.42187E+03      -44.6837E+03        -3.54591E+03       -7.71434E+03       -3.83922E+03       -2.92513E+03       -3.57092E+03
                1.05059E-03       -3.42432E+03      -44.7691E+03        -3.54315E+03       -7.73E+03          -3.73815E+03       -2.93097E+03       -3.57092E+03
                1.05063E-03       -3.4245E+03       -44.7754E+03        -3.54295E+03       -7.73115E+03       -3.74024E+03       -2.9314E+03        -3.57092E+03
                1.05065E-03       -3.42459E+03      -44.7784E+03        -3.54285E+03       -7.73255E+03       -3.74126E+03       -2.93161E+03       -3.57092E+03
                1.05077E-03       -3.42515E+03      -44.7981E+03        -3.54643E+03       -7.74162E+03       -3.74785E+03       -2.93296E+03       -3.57092E+03
                1.125E-03         -3.77875E+03      -31.7645E+03        -5.78449E+03      -13.4135E+03        -7.87186E+03       -3.77545E+03       -3.57092E+03
                1.12559E-03       -3.78132E+03      -31.6604E+03        -5.80237E+03      -13.4588E+03        -7.9048E+03        -3.78218E+03       -3.57092E+03
                1.12563E-03       -3.78149E+03      -31.6538E+03        -5.8035E+03       -13.4617E+03        -7.90754E+03       -3.7826E+03        -3.57092E+03
                1.12565E-03       -3.78157E+03      -31.6505E+03        -5.80406E+03      -13.4601E+03        -7.90888E+03       -3.78281E+03       -3.57092E+03
                1.2E-03           -4.10404E+03      -18.5961E+03        -4.42834E+03       -7.23762E+03      -13.3226E+03        -4.62665E+03       -3.57092E+03
                1.20008E-03       -4.10392E+03      -18.5823E+03        -4.4269E+03        -7.23107E+03      -13.3283E+03        -4.62754E+03       -3.57092E+03
                1.20059E-03       -4.10315E+03      -18.492E+03         -4.41737E+03       -7.188E+03        -13.3658E+03        -4.62372E+03       -3.57092E+03
                1.20063E-03       -4.10309E+03      -18.4853E+03        -4.41668E+03       -7.18485E+03      -13.3655E+03        -4.62344E+03       -3.57092E+03
                1.20065E-03       -4.10307E+03      -18.4821E+03        -4.41634E+03       -7.18449E+03      -13.3653E+03        -4.6233E+03        -3.57092E+03
                1.20077E-03       -4.10289E+03      -18.4613E+03        -4.41547E+03       -7.18215E+03      -13.3644E+03        -4.62242E+03       -3.57092E+03
                1.275E-03         -3.99182E+03      -22.719E+03         -3.87257E+03       -5.72061E+03      -12.7871E+03        -4.07138E+03       -3.57092E+03
                1.27559E-03       -3.98832E+03      -22.753E+03         -3.86824E+03       -5.70894E+03      -12.7825E+03        -4.06697E+03       -3.57092E+03
                1.27563E-03       -3.9881E+03       -22.7551E+03        -3.86796E+03       -5.7082E+03       -12.7792E+03        -4.06669E+03       -3.57092E+03
                1.27565E-03       -3.98799E+03      -22.7562E+03        -3.86783E+03       -5.70831E+03      -12.7777E+03        -4.06656E+03       -3.57092E+03
                1.35E-03          -3.54912E+03      -27.0207E+03        -3.79746E+03       -6.14852E+03       -6.29509E+03       -3.51463E+03       -3.57092E+03
                1.35008E-03       -3.5491E+03       -27.0252E+03        -3.79738E+03       -6.14899E+03       -6.28827E+03       -3.51405E+03       -3.57092E+03
                1.35059E-03       -3.54895E+03      -27.0547E+03        -3.79689E+03       -6.15203E+03       -6.24339E+03       -3.51364E+03       -3.57092E+03
                1.35063E-03       -3.54894E+03      -27.0569E+03        -3.79686E+03       -6.15226E+03       -6.24242E+03       -3.51361E+03       -3.57092E+03
                1.35065E-03       -3.54893E+03      -27.0579E+03        -3.79684E+03       -6.15268E+03       -6.24195E+03       -3.5136E+03        -3.57092E+03
                1.35077E-03       -3.5489E+03       -27.0647E+03        -3.79901E+03       -6.15546E+03       -6.23888E+03       -3.5135E+03        -3.57092E+03
                1.425E-03         -3.52709E+03      -28.7153E+03        -5.15579E+03       -7.88892E+03       -4.32208E+03       -3.45437E+03       -3.57092E+03
                1.42559E-03       -3.5294E+03       -28.7285E+03        -5.16662E+03       -7.90276E+03       -4.30677E+03       -3.4539E+03        -3.57092E+03
                1.42563E-03       -3.52955E+03      -28.7293E+03        -5.16731E+03       -7.90364E+03       -4.31184E+03       -3.45387E+03       -3.57092E+03
                1.42565E-03       -3.52962E+03      -28.7298E+03        -5.16764E+03       -7.90341E+03       -4.3143E+03        -3.45385E+03       -3.57092E+03
                1.5E-03           -3.8198E+03       -30.383E+03         -4.43886E+03       -6.93681E+03      -14.3102E+03        -3.39462E+03       -3.57092E+03




