iter	Passed	Remaining
412	3359	4775
413	3366	4765
414	3371	4752
415	3381	4746
416	3388	4737
417	3393	4725
418	3398	4712
419	3404	4702
420	3407	4686
421	3414	4676
422	3420	4666
423	3424	4651
424	3429	4639
425	3439	4633
426	3446	4624
427	3457	4620
428	3464	4611
429	3471	4602
430	3475	4588
431	3484	4581
432	3489	4569
433	3493	4556
434	3495	4540
435	3504	4533
436	3511	4524
437	3514	4509
438	3518	4496
439	3527	4490
440	3530	4475
441	3537	4466
442	3542	4454
443	3548	4444
444	3552	4430
445	3556	4417
446	3560	4404
447	3565	4393
448	3569	4380
449	3573	4367
450	3575	4352
451	3578	4338
452	3581	4324
453	3592	4320
454	3597	4308
455	3601	4296
456	3606	4285
457	3609	4271
458	3613	4258
459	3618	4247
460	3625	4238
461	3628	4225
462	3630	4210
463	3632	4196
464	3635	4182
465	3637	4168
466	3639	4154
467	3642	4140
468	3645	4127
469	3647	4112
470	3649	4098
471	3651	4085
472	3653	4070
473	3655	4057
474	3658	4043
475	3660	4030
476	3663	4016
477	3665	4002
478	3667	3989
479	3670	3976
480	3674	3964
481	3676	3951
482	3679	3938
483	3681	3925
484	3683	3911
485	3686	3898
486	3689	3886
487	3692	3873
488	3694	3861
489	3697	3848
490	3699	3834
491	3701	3822
492	3705	3810
493	3707	3797
494	3709	3784
495	3712	3772
496	3714	3759
497	3717	3747
498	3719	3734
499	3721	3721
500	3724	3709
501	3727	3697
502	3729	3685
503	3731	3672
504	3734	3660
505	3737	3648
506	3739	3635
507	3741	3623
508	3746	3613
509	3749	3602
510	3752	3591
511	3762	3585
512	3764	3573
513	3770	3565
514	3778	3558
515	3784	3550
516	3788	3539
517	3795	3532
518	3804	3525
519	3809	3516
520	3816	3509
521	3820	3498
522	3825	3489
523	3828	3478
524	3833	3468
525	3835	3456
526	3839	3446
527	3843	3436
528	3848	3426
529	3852	3416
530	3854	3404
531	3860	3396
532	3863	3385
533	3865	3373
534	3868	3361
535	3871	3351
536	3873	3339
537	3875	3328
538	3878	3317
539	3881	3306
540	3883	3294
541	3885	3283
542	3887	3272
543	3895	3265
544	3897	3254
545	3901	3244
546	3907	3235
547	3909	3224
548	3911	3213
549	3913	3202
550	3916	3191
551	3918	3180
552	3920	3169
553	3923	3158
554	3925	3147
555	3930	3139
556	3936	3130
557	3941	3122
558	3944	3112
559	3951	3104
560	3957	3097
561	3962	3087
562	3968	3079
563	3970	3069
564	3974	3059
565	3978	3050
566	3981	3040
567	3984	3030
568	3986	3019
569	3990	3010
570	3992	2999
571	3996	2990
572	3999	2980
573	4006	2973
574	4009	2963
575	4011	2953
576	4014	2943
577	4018	2934
578	4022	2924
579	4025	2914
580	4028	2905
581	4031	2895
582	4034	2885
583	4036	2875
584	4038	2864
585	4040	2854
586	4042	2844
587	4044	2834
588	4047	2824
589	4049	2814
590	4052	2804
591	4054	2794
592	4056	2784
593	4058	2774
594	4060	2764
595	4062	2753
596	4065	2744
597	4067	2734
598	4070	2724
599	4072	2714
600	4074	2704
601	4077	2695
602	4080	2686
603	4083	2676
604	4085	2667
605	4087	2657
606	4090	2648
607	4091	2638
608	4095	2629
609	4097	2619
610	4099	2609
611	4101	2600
612	4103	2590
613	4106	2581
614	4108	2571
615	4110	2562
616	4112	2552
617	4114	2543
618	4117	2534
619	4118	2524
620	4120	2515
621	4122	2505
622	4124	2495
623	4126	2486
624	4130	2478
625	4132	2469
626	4134	2459
627	4136	2450
628	4138	2440
629	4139	2431
630	4142	2422
631	4144	2413
632	4145	2403
633	4148	2394
634	4150	2385
635	4151	2376
636	4153	2366
637	4155	2357
638	4161	2351
639	4168	2344
640	4179	2340
641	4183	2332
642	4190	2326
643	4194	2318
644	4196	2309
645	4201	2302
646	4203	2293
647	4208	2286
648	4211	2277
649	4214	2269
650	4218	2261
651	4226	2255
652	4229	2247
653	4233	2239
654	4236	2231
655	4241	2224
656	4245	2216
657	4251	2209
658	4259	2203
659	4263	2196
660	4266	2188
661	4269	2179
662	4271	2171
663	4273	2162
664	4275	2153
665	4277	2145
666	4279	2136
667	4281	2128
668	4284	2119
669	4286	2111
670	4288	2102
671	4289	2093
672	4291	2085
673	4294	2076
674	4295	2068
675	4297	2059
676	4300	2051
677	4301	2043
678	4303	2034
679	4305	2025
680	4307	2017
681	4309	2009
682	4311	2001
683	4313	1992
684	4315	1984
685	4317	1976
686	4319	1968
687	4321	1959
688	4324	1951
689	4326	1943
690	4327	1935
691	4330	1927
692	4331	1919
693	4333	1910
694	4335	1902
695	4337	1894
696	4339	1886
697	4341	1878
698	4343	1870
699	4345	1862
700	4347	1854
701	4349	1846
702	4352	1838
703	4355	1831
704	4359	1824
705	4363	1817
706	4367	1810
707	4370	1802
708	4374	1795
