iter	RMSE
606	1954.219394
607	1954.088648
608	1953.844923
609	1953.602299
610	1953.355858
611	1953.157362
612	1952.754713
613	1952.449266
614	1952.143492
615	1952.11761
616	1951.892278
617	1951.685366
618	1951.461086
619	1951.112207
620	1950.93625
621	1950.574635
622	1950.227935
623	1949.92731
624	1949.591937
625	1949.423335
626	1949.242424
627	1949.074266
628	1949.000202
629	1948.933002
630	1948.861059
631	1948.519164
632	1948.149992
633	1947.965059
634	1947.756414
635	1947.552467
636	1947.475951
637	1947.279329
638	1947.09324
639	1946.916309
640	1946.838119
641	1946.611441
642	1946.406498
643	1946.372505
644	1946.304838
645	1945.973159
646	1945.809752
647	1945.492989
648	1945.267332
649	1945.078762
650	1944.722133
651	1944.400549
652	1944.212518
653	1944.175148
654	1944.083982
655	1943.893447
656	1943.834446
657	1943.715866
658	1943.590801
659	1943.407044
660	1943.249495
661	1943.104241
662	1942.77201
663	1942.57737
664	1942.434684
665	1942.365272
666	1942.111992
667	1941.940094
668	1941.818631
669	1941.697101
670	1941.511212
671	1941.408858
672	1941.199672
673	1941.006843
674	1940.837863
675	1940.664941
676	1940.577447
677	1940.338349
678	1940.302263
679	1940.108894
680	1939.897887
681	1939.756226
682	1939.669957
683	1939.634262
684	1939.556037
685	1939.447484
686	1939.392281
687	1939.22306
688	1938.966648
689	1938.827959
690	1938.659406
691	1938.607996
692	1938.438059
693	1938.307558
694	1938.230481
695	1938.027664
696	1937.867552
697	1937.707384
698	1937.655802
699	1937.488112
700	1937.425781
701	1937.294494
702	1937.149744
703	1937.088589
704	1936.934949
705	1936.848603
706	1936.700684
707	1936.474191
708	1936.323606
709	1936.157897
710	1935.946706
711	1935.922216
712	1935.698798
713	1935.448346
714	1935.33418
715	1935.225638
716	1935.091307
717	1934.898862
718	1934.840695
719	1934.717823
720	1934.672088
721	1934.563
722	1934.483538
723	1934.370755
724	1934.170831
725	1934.008606
726	1933.812998
727	1933.726581
728	1933.56362
729	1933.424441
730	1933.328808
731	1933.258999
732	1932.971225
733	1932.871141
734	1932.727523
735	1932.54727
736	1932.347097
737	1932.280676
738	1932.172791
739	1932.105653
740	1932.062708
741	1931.884274
742	1931.752056
743	1931.598012
744	1931.383838
745	1931.310286
746	1931.212054
747	1931.07968
748	1931.029959
749	1930.976054
750	1930.783401
751	1930.630007
752	1930.502915
753	1930.400871
754	1930.278223
755	1930.152747
756	1930.115529
757	1929.987303
758	1929.872689
759	1929.776961
760	1929.728552
761	1929.507682
762	1929.393118
763	1929.345725
764	1929.218018
765	1929.121867
766	1929.024516
767	1928.90251
768	1928.808943
769	1928.711118
770	1928.564429
771	1928.44656
772	1928.406098
773	1928.293608
774	1928.178978
775	1928.049612
776	1927.925106
777	1927.775612
778	1927.731344
779	1927.674383
780	1927.541567
781	1927.507573
782	1927.407243
783	1927.369025
784	1927.247607
785	1927.20605
786	1927.183419
787	1927.06122
788	1926.98433
789	1926.87657
790	1926.836018
791	1926.725134
792	1926.610565
793	1926.555228
794	1926.410634
795	1926.33889
796	1926.158209
797	1926.004747
798	1925.972668
799	1925.862524
800	1925.795476
801	1925.710675
802	1925.679149
803	1925.563815
804	1925.525091
805	1925.447489
806	1925.351414
807	1925.250633
808	1925.187572
809	1925.064277
810	1924.992707
811	1924.903684
812	1924.867349
813	1924.813708
814	1924.750989
815	1924.616449
816	1924.566611
817	1924.445183
818	1924.311844
819	1924.22571
820	1924.134491
821	1924.032745
822	1923.947907
823	1923.865631
824	1923.73135
825	1923.672508
826	1923.562581
827	1923.416416
828	1923.358129
829	1923.267089
830	1923.232442
831	1923.158589
832	1923.059797
833	1922.949739
834	1922.816013
835	1922.788442
836	1922.693211
837	1922.597832
838	1922.459127
839	1922.423018
840	1922.329464
841	1922.296301
842	1922.219783
843	1922.149496
844	1922.096593
845	1922.04344
846	1921.91675
847	1921.811646
848	1921.73422
849	1921.619239
850	1921.503861
851	1921.419295
852	1921.393744
853	1921.309145
854	1921.202006
855	1921.076419
856	1921.011724
857	1920.949716
858	1920.898796
859	1920.781135
860	1920.734557
861	1920.715202
862	1920.605673
863	1920.498242
864	1920.468164
865	1920.361455
866	1920.251533
867	1920.151949
868	1920.050954
869	1919.931466
870	1919.876783
871	1919.752219
872	1919.711291
873	1919.650595
874	1919.578492
875	1919.459464
876	1919.390381
877	1919.263934
878	1919.198444
879	1919.169133
880	1919.070949
881	1919.013705
882	1918.960304
883	1918.927061
884	1918.903943
885	1918.875523
886	1918.847608
887	1918.820189
888	1918.741451
889	1918.701704
890	1918.645396
891	1918.548566
892	1918.457237
893	1918.402362
894	1918.329393
895	1918.316177
896	1918.286192
897	1918.213058
898	1918.119917
899	1918.057359
900	1917.989629
901	1917.935965
902	1917.841289
903	1917.750221
904	1917.724052
905	1917.623926
906	1917.528778
907	1917.511923
908	1917.486596
909	1917.428267
910	1917.336391
911	1917.258546
912	1917.206646
913	1917.159936
914	1917.073728
915	1917.013807
916	1916.941591
917	1916.902496
918	1916.828903
919	1916.758807
920	1916.671002
921	1916.596332
922	1916.574272
923	1916.533221
924	1916.476466
925	1916.461406
926	1916.415166
927	1916.396436
928	1916.340284
929	1916.305964
930	1916.253296
931	1916.162984
932	1916.07347
933	1916.031807
934	1915.965115
935	1915.937999
936	1915.898181
937	1915.833188
938	1915.777435
939	1915.71888
940	1915.635608
941	1915.60046
942	1915.569875
943	1915.528844
944	1915.483566
945	1915.426893
946	1915.387932
947	1915.362727
948	1915.319685
949	1915.301105
950	1915.216756
951	1915.196447
952	1915.151492
953	1915.091847
954	1915.07568
955	1915.011693
956	1914.956881
957	1914.939108
958	1914.840147
959	1914.75728
960	1914.717073
961	1914.670343
962	1914.578339
963	1914.541186
964	1914.527997
965	1914.511141
966	1914.474797
967	1914.422968
968	1914.403014
969	1914.333052
970	1914.319014
971	1914.269026
972	1914.253562
973	1914.206756
974	1914.139231
975	1914.075226
976	1914.059983
977	1914.007862
978	1913.969938
979	1913.951873
980	1913.895059
981	1913.863175
982	1913.818852
983	1913.723215
984	1913.693524
985	1913.678909
986	1913.628315
987	1913.602733
988	1913.554767
989	1913.475472
990	1913.402062
991	1913.318793
992	1913.283543
993	1913.265595
994	1913.233087
995	1913.218205
996	1913.208652
997	1913.167255
998	1913.113196
999	1913.067543
