,vc,rake_angle,AISI_1020,AISI_1045,AISI_1045-2,AISI_304,AISI_4130,AISI_4140,AISI_4340,AISI_52100
59,4000,5,43.85562667846678,150.56060638427738,457.66022949218757,644.4950317382815,324.1854980468752,1152.8627441406284,558.8429138183595,177.34570922851566
60,4000,8,50.27815628051758,111.85703392028825,356.6611602783204,599.1598937988281,346.55191650390617,1245.989746093752,594.7843505859375,239.0383758544922
61,4000,11,42.455765151977545,134.03350982666024,380.46375732421865,668.3339111328125,336.5029113769532,1237.790209960938,564.3051086425783,220.41841125488298
62,4000,14,45.337070465087876,124.26962432861326,449.7454345703127,667.8904052734376,326.7944091796876,1235.024536132812,746.2273559570312,274.148522949219
63,4500,-10,74.57898025512695,130.8289611816406,293.2434471130373,771.6320556640625,397.883740234375,1082.52077636719,520.4685729980467,247.18648834228543
64,4500,-7,58.02632141113291,145.20649261474614,400.1488494873048,794.7712646484375,358.5474060058596,1079.4889282226582,627.8305541992186,217.4874923706056
65,4500,-4,46.26632575988769,100.5406799316406,494.529626464844,695.3325317382813,287.80837097168,1046.8950927734381,579.9988220214846,225.43002929687495
66,4500,-1,45.51556625366212,150.6930541992187,480.2306030273436,501.6943862915039,320.51687927246087,1261.702075195314,597.3579223632814,229.84026947021502
67,4500,2,50.5249053955078,156.852813720703,359.64777526855477,742.1311279296876,233.99454193115236,873.278625488281,597.743115234375,235.087747192383
68,4500,5,36.325523567199696,133.46700668334944,460.69843139648435,674.4723022460939,264.76324462890636,1177.340649414062,544.8026184082031,216.5435607910158
69,4500,8,49.47758636474608,125.23907165527355,452.39894409179703,667.388671875,354.05684204101556,1196.782934570314,705.8474731445314,225.17243957519523
70,4500,11,42.298735046386724,125.04984436035159,440.2844970703128,598.6080017089844,346.2690856933594,1220.6931640625,685.9131591796878,178.14470748901377
71,4500,14,57.14750862121582,112.68638916015625,447.7363220214844,646.1940307617188,314.793637084961,1259.540893554688,608.9122436523437,232.55316162109398
