,vc,rake_angle,AISI_1020,AISI_1045,AISI_1045-2,AISI_304,AISI_4130,AISI_4140,AISI_4340,AISI_52100
0,1000,-10,59.03622894287109,,355.33888092041025,704.8872314453126,407.44432373046857,974.8797119140615,452.05487060546875,285.7698028564456
1,1000,-7,35.5737419128418,137.75590972900392,534.7356201171878,588.0360198974607,353.1103454589846,1165.010986328128,560.0354431152343,294.22351379394524
2,1000,-4,42.13161277770996,116.2358703613282,545.6592041015625,651.2971313476564,234.08868942260756,1069.0214111328112,552.806823730469,101.16587066650399
3,1000,-1,41.19351024627686,77.00202484130872,201.46118927001967,673.9892211914064,321.14720764160177,929.3486328125,317.6342437744142,228.99627685546898
4,1000,2,59.383296966552756,138.46857604980477,382.15470581054683,633.865087890625,314.4824890136718,1077.7204833984356,599.5295898437502,277.5042755126956
5,1000,5,53.475783157348644,137.3899780273437,430.2230712890626,376.2221343994142,279.919680786133,1260.6891357421898,590.8381958007816,259.0437591552734
6,1000,8,53.26475944519045,118.12565460205079,508.1911437988282,623.9107421875003,303.38162231445324,1270.9207275390622,550.557684326172,226.39759826660162
7,1000,11,48.232029724121105,91.40547542572027,486.5969177246094,622.3695556640625,314.74638671875,1263.806396484378,803.38076171875,258.32930603027364
8,1000,14,42.65331649780272,139.75090255737302,463.5200439453126,587.8041870117188,328.1971374511718,898.1425537109375,738.529833984375,263.3460540771482
9,1500,-10,56.42446422576912,147.44481201171865,198.07842330932627,721.6494995117188,356.8242095947266,1124.7085693359381,531.648980712891,218.79177093505876
10,1500,-7,46.676854705810584,139.55522727966317,425.14251403808584,692.608984375,333.4728942871094,988.1625976562511,459.8765014648437,288.797738647461
11,1500,-4,25.5854850769043,141.7348831176758,187.33750305175786,723.3690551757812,205.24621582031241,1047.3713989257808,523.2425170898439,169.29187316894541
12,1500,-1,29.3321054458618,157.99392547607437,282.6654754638672,673.762109375,301.818002319336,1063.915600585938,236.84942779541035,189.79523925781234
13,1500,2,60.312260437011716,127.89930267333993,458.2203552246098,649.6135253906253,340.5384826660158,1014.6600463867195,385.4473937988282,270.10400390625006
14,1500,5,49.77649765014651,148.42612304687503,430.62011108398457,610.7240661621096,344.97180786132816,1229.50895996094,594.516455078125,205.1277496337892
15,1500,8,43.8156436920166,118.33595275878922,399.34804077148436,653.0229248046877,286.48226928710943,1230.877868652345,777.7846435546877,226.3200881958008
16,1500,11,41.11333980560302,140.77452392578124,498.6137573242189,646.5309204101562,326.3430786132814,1249.9183837890662,774.4487182617188,278.87675170898467
17,1500,14,49.210510635375975,117.05162506103531,441.38926391601564,625.863220214844,316.579431152344,1238.765673828128,869.9381469726566,268.7261413574218
18,2000,-10,42.055339050293036,95.69021453857428,285.85579223632817,681.425244140625,326.89824218750016,1080.0134521484401,321.47961730957036,300.7935089111326
19,2000,-7,76.7313911437989,99.4775926589966,296.35154418945297,735.9456420898439,367.9647521972657,1034.522998046878,494.98963623046876,261.8025054931642
20,2000,-4,24.933941268920883,117.50143280029299,513.9176025390624,732.0475585937503,265.6207336425784,1000.344006347658,562.0414794921876,259.46234436035144
21,2000,-1,50.20275955200196,109.01548862457273,276.1623489379886,614.5499633789065,344.9606018066406,1044.5928222656257,185.01982955932624,202.11694793701187
22,2000,2,53.107926559448245,143.1633323669434,417.7147552490234,666.8677001953126,238.83805236816406,952.3153076171877,317.2847076416016,248.5255493164062
23,2000,5,32.25213785171509,150.12673645019527,466.2601135253908,658.9461181640627,324.47360839843736,1280.626928710938,148.92369537353505,283.4032043457032
24,2000,8,40.95623207092284,127.01003875732417,414.5747253417968,426.93529663085917,340.4827575683594,1230.262866210938,602.5509033203126,238.63756561279288
